PDB code,Binding_affinity,rmsd,methods,Ics_charg-charg,Ics_charg-polar,Ics_charg-apolar,Ics_polar-polar,Ics_polar-apolar,Ics_apolar-apolar,%NISapol,%NISpol,%NISchar,BSAtotal,BSAapolar,BSApoalr
1A2K_C:AB,-9.3,1.11,ITC,5,4,20,2,11,25,40.77,31.64,28.95,1602.7,1020.1,582.5
1ACB_E:I,-13.1,1.08,spectro-scopy,3,2,19,4,19,25,38.5,42.52,18.78,1544.1,1084.3,459.8
1AK4_A:D,-6.4,1.33,ITC,0,4,14,1,10,20,45.03,28.13,26.93,1065.5,755.4,310.1
1AKJ_AB:DE,-5.3,1.14,SPR,8,20,7,18,18,2,35.84,35.31,29.61,1995.1,820,1175.2
1ATN_A:D,-12.1,3.28,spectro-scopy,9,8,20,4,15,28,34.94,36.46,28.74,1774.3,1190.1,584.1
1AVZ_B:C,-6.5,0.73,ITC,5,8,9,2,14,10,44.19,30.59,26.98,1259.6,747.9,511.7
1B6C_A:B,-8.9,1.96,SPR,6,11,18,1,11,21,35.7,31.42,33.15,1752.4,1218.5,533.9
1BJ1_HL:VW,-11.6,0.5,SPR,3,8,21,7,22,19,35.61,41.7,21.67,1730.7,980,750.7
1BUH_A:B,-9.7,0.75,SPR,12,4,20,0,5,17,41.24,28.83,29.93,1323.9,820.4,503.5
1BVK_DE:F,-10.5,1.24,stopped-flow,2,8,18,2,14,14,33.27,43.75,22.76,1321.1,660.5,660.5
1BVN_P:T,-15.1,0.87,SPR,3,12,22,0,23,33,36.78,38.1,25,2221.7,1368.1,853.7
1CBW_ABC:D,-10.7,0.74,Spectro-scopy,3,10,26,1,13,28,39.9,39.7,20.96,1457.2,950,507.3
1DE4_AB:CF,-9.8,2.59,SPR,5,13,17,9,14,9,33.91,35.06,31.03,2065.5,1289.1,776.3
1DQJ_AB:C,-11.7,0.75,SPR,2,20,18,11,25,15,31.37,47.66,20.83,1783.8,849.3,934.5
1E4K_AB:C,-7.9,2.59,SPR,3,8,26,2,5,21,35.97,38.87,25.16,1634.8,1090.8,544.1
1E6E_A:B,-8.3,1.33,SPR,18,15,17,5,11,11,43.56,26.26,30.92,2312.2,1297.9,1014.3
1E6J_HL:P,-10.3,1.05,SPR,0,7,8,5,15,26,38.77,41.1,20.48,1245.5,839.2,406.3
1E96_A:B,-7.4,0.71,ITC,4,7,16,4,11,8,37.16,28.73,34.1,1178.7,717.6,461.1
1EER_A:BC,-15.6,2.44,SPR,30,19,25,12,31,19,43.75,25.94,30.13,3346.6,1880.3,1466.2
1EFN_B:A,-10.1,0.9,SPR,5,5,12,1,12,16,43.3,27.48,28.35,1253.6,792.4,461.1
1EMV_A:B,-18.6,1.28,stopped-flow,4,12,11,4,24,13,29.09,29.69,41.21,1535.3,902.6,632.7
